id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JH18J5P07D93P24CGY4TFZD2,01JH16GC64174T7CVHW3RPJ4WS,2025-01-07T20:51:08.096414224Z,01JH16GC9W6FMGAV86655KYY63,2025-01-07T20:51:08.096414224Z,01JH16W8EY1V73TD5KGBAMNVQ9,2025-01-07T20:51:08.096414224Z,01JH17BA57X97WREHRFGMV3S6E,2025-01-07T20:51:08.096414224Z,01JH17BFZ181DXCV5N0XMSXHW6,2025-01-07T20:51:08.096414224Z,true,2025-01-07T20:51:37.45692521Z
01JH0ZHBXWQ53D1A0WW5PQAF4C,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:13:24.540721386Z,01JH0YPC4PQ2SZZT98DCX2XKP3,2025-01-07T18:13:24.540721386Z,01JH0YYB8YNEDQSFMX34EKSY7X,2025-01-07T18:13:24.540721386Z,01JH0Z6051WR4J2T34ESGSA055,2025-01-07T18:13:24.540721386Z,01JH0Z60G3DJ9C1CF0JDW7JQM2,2025-01-07T18:13:24.540721386Z,true,2025-01-07T18:13:52.597638194Z
01JH0ZT6KSZEE0R7J0YDVEH4NS,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:18:14.009104777Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:18:14.009104777Z,01JH0YVPJHJA484R92F8Q7QA88,2025-01-07T18:18:14.009104777Z,01JH0ZHYF87GNH6MWTD0HY89W9,2025-01-07T18:18:14.009104777Z,01JH0ZHYK8B9418GVZ0585J88N,2025-01-07T18:18:14.009104777Z,,
01JH1088P418SDGVCYN9YBWBEE,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:25:54.885008327Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:25:54.885008327Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:25:54.885008327Z,01JH0ZW9PGXF6N14PKWN2H3JJ1,2025-01-07T18:25:54.885008327Z,01JH0ZWA25ZJQJBRHBMZ15GRSE,2025-01-07T18:25:54.885008327Z,,
01JH10APBC0C5KERT69ZKQJHBQ,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:27:14.412589897Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:27:14.412589897Z,01JH0ZF8TRM7V47TBA0K2KGSW6,2025-01-07T18:27:14.412589897Z,01JH0ZHYF0XBZKPW3F6DP2DB8T,2025-01-07T18:27:14.412589897Z,01JH0ZHZ410QMQGDNJTFXKC4P2,2025-01-07T18:27:14.412589897Z,true,2025-01-07T18:27:22.194546266Z
01JH10CGVKKTS13TJ16SFY3X4K,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:28:14.323172039Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:28:14.323172039Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:28:14.323172039Z,01JH0ZW9P8DM4WNT5PPN8G50MV,2025-01-07T18:28:14.323172039Z,01JH0ZWA5W8DFM7XMCCD5YGPR6,2025-01-07T18:28:14.323172039Z,true,2025-01-07T18:29:12.583333917Z
01JH11NFCSK7JGB1CQGBP1WGPR,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:50:36.313377884Z,01JH0YW899PD6KSY7EQEAXBBBC,2025-01-07T18:50:36.313377884Z,01JH0ZVX8S2SBNZZFA5V7NKGW1,2025-01-07T18:50:36.313377884Z,01JH105F2GC9200EFXVNY7QEJ6,2025-01-07T18:50:36.313377884Z,01JH105G4KNCBRSX9GAB12ACEG,2025-01-07T18:50:36.313377884Z,,
01JH0ZN2MFGS0FJD2AHXX62EV2,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:15:26.095576199Z,01JH0YPC4PQ2SZZT98DCX2XKP3,2025-01-07T18:15:26.095576199Z,01JH0YYB8YNEDQSFMX34EKSY7X,2025-01-07T18:15:26.095576199Z,01JH0Z6055TVVV10X679T8J7RN,2025-01-07T18:15:26.095576199Z,01JH0Z60JTRH87TY4JDR0P67WD,2025-01-07T18:15:26.095576199Z,,
01JH0ZVAH9WK838XVM5QJ2Y1NQ,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:18:50.79329073Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:18:50.79329073Z,01JH0ZF8TRM7V47TBA0K2KGSW6,2025-01-07T18:18:50.79329073Z,01JH0ZHYF9CMQQ76WWWATFEXEH,2025-01-07T18:18:50.79329073Z,01JH0ZHYKT9QS582BX2RRKWTWK,2025-01-07T18:18:50.79329073Z,,
01JH106KX1226M2H00ZXSR366W,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:25:00.833521212Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:25:00.833521212Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:25:00.833521212Z,01JH0ZW9PABM1RN04Q7X1DHN9H,2025-01-07T18:25:00.833521212Z,01JH0ZWA0RACRTAKMSK1V92AQJ,2025-01-07T18:25:00.833521212Z,,
01JH10BM6ZKB060EHQ3Y4PG2H4,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:27:44.991481696Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:27:44.991481696Z,01JH0ZS6TEEZTSN6DTAG7QZ8YS,2025-01-07T18:27:44.991481696Z,01JH0ZW9PY2T7V6SRDYF3DT42K,2025-01-07T18:27:44.991481696Z,01JH0ZWA58HD5KFPG1SKGGX02V,2025-01-07T18:27:44.991481696Z,true,2025-01-07T18:28:11.096322539Z
01JH10RZ4D70AJJ5XR3F4PH694,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:35:02.157404525Z,01JH0YW899PD6KSY7EQEAXBBBC,2025-01-07T18:35:02.157404525Z,01JH0ZSK9VP35HG27XV96QGK8P,2025-01-07T18:35:02.157404525Z,01JH105EYC89ZEZYJWPS1MKQCZ,2025-01-07T18:35:02.157404525Z,01JH105FHKM45YKZDZB8P8SGB1,2025-01-07T18:35:02.157404525Z,,
01JH10YVQPCAGQFEWZMS487DTY,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:38:15.286712196Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:38:15.286712196Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:38:15.286712196Z,01JH0ZW9Q7SAJ5ZXZJEZZHVR8J,2025-01-07T18:38:15.286712196Z,01JH0ZWAQRR6K7FM998B8PH5Y0,2025-01-07T18:38:15.286712196Z,,
01JH102Z0BW5X2VBM2EX8J9GZ9,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:23:01.131650282Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:23:01.131650282Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:23:01.131650282Z,01JH0ZW9PN5A5RGXDYPQRH5ZKT,2025-01-07T18:23:01.131650282Z,01JH0ZW9XCVSQSM95ZKXGQC7GB,2025-01-07T18:23:01.131650282Z,,
01JH10WQEFY6YV0HDPCV50QPY5,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:37:05.359498688Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:37:05.359498688Z,01JH0ZRRSJTRCZ4ZDNZN1NM18J,2025-01-07T18:37:05.359498688Z,01JH10G6PAAMDFPV42MER4TQVT,2025-01-07T18:37:05.359498688Z,01JH10G77XD5NG9ZFVDMVJ8ASQ,2025-01-07T18:37:05.359498688Z,,
01JH11QT9EWAP2HK8MEFG275X5,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:51:53.006717937Z,01JH0YW899PD6KSY7EQWBD7C81,2025-01-07T18:51:53.006717937Z,01JH10KQNGZFF28QS5MVWVGPEK,2025-01-07T18:51:53.006717937Z,01JH10TG1C0ZPZEJXEGM0BM156,2025-01-07T18:51:53.006717937Z,01JH10THYZ40Z8SQRPWP3848ZK,2025-01-07T18:51:53.006717937Z,true,2025-01-07T18:52:09.093817985Z
01JH11TTQX5AV4ZR88J4HRFQ5D,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:53:31.773565159Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:53:31.773565159Z,01JH0ZRRSJTRCZ4ZDNZN1NM18J,2025-01-07T18:53:31.773565159Z,01JH10G6T6P34RA0ZYDAJ4Q9AA,2025-01-07T18:53:31.773565159Z,01JH10G7ZKXNQEVBC68YECG3RW,2025-01-07T18:53:31.773565159Z,true,2025-01-07T18:54:12.595799204Z
01JH179S3J7609TD07RHSC56BM,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:29:04.498509734Z,01JH16G2KK12WBJF9J75ZDWEXK,2025-01-07T20:29:04.498509734Z,01JH16NJ1MECQD0S8DAJ39REQ5,2025-01-07T20:29:04.498509734Z,01JH16TBA8Q3CCXWMWX2G6HBWW,2025-01-07T20:29:04.498509734Z,01JH16TDPE8Q0V79JKYB2RRAXJ,2025-01-07T20:29:04.498509734Z,,
01JH1081AQRPN12YP1HC253H7B,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:25:47.35157854Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:25:47.35157854Z,01JH0YVPJHJA484R92F8Q7QA88,2025-01-07T18:25:47.35157854Z,01JH0ZHYET104NRQKA39B3HWEE,2025-01-07T18:25:47.35157854Z,01JH0ZHZ0T21P3W5GB495KNH4D,2025-01-07T18:25:47.35157854Z,true,2025-01-07T18:25:58.725420606Z
01JH115QR7K6097ZN1W5KYST7T,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:42:00.583560295Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:42:00.583560295Z,01JH0ZS6TEEZTSN6DTAG7QZ8YS,2025-01-07T18:42:00.583560295Z,01JH0ZW9R0YH6VTB58DAPY4702,2025-01-07T18:42:00.583560295Z,01JH0ZWAZZFX9MNDWDYCV1W9H8,2025-01-07T18:42:00.583560295Z,,
