roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M14TWRSSRCMDNWK6115EZ1HJ,01M14SGHSZFM9JBEJ22KKAENMP,training,45,3,10,48,12,2,/tangrams/10_7.png,A2,"[""/tangrams/186_15.png"",""/tangrams/10_342.png"",""/tangrams/128_7.png"",""/tangrams/10_7.png""]","[""D1"",""A3"",""C2"",""A2""]",/tangrams/10_7.png,TRUE,/tangrams/10_7.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945476588,NA,4
01M14TP6Q6259MHHH2DX1W1BD6,01M14SGHT1R1T89RW3KEBWKX4S,training,45,3,10,48,12,2,/tangrams/186_349.png,D4,"[""/tangrams/421_7.png"",""/tangrams/304_351.png"",""/tangrams/148_294.png"",""/tangrams/186_349.png""]","[""B2"",""F7"",""F4"",""D4""]",/tangrams/186_349.png,TRUE,/tangrams/186_349.png,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,1787944892871,NA,4
01M14TSZ46ECEZ22E481S09DFR,01M14SGHT011RS3K43GJ2H3XM3,training,21,1,10,48,12,2,/tangrams/10_342.png,A3,"[""/tangrams/186_7.png"",""/tangrams/10_342.png"",""/tangrams/128_15.png"",""/tangrams/421_349.png""]","[""D2"",""A3"",""C1"",""B4""]",/tangrams/10_342.png,TRUE,/tangrams/10_342.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943995638,NA,2
01M14TWRRHTNJMEBZCQMVPXWN8,01M14SGHSZFM9JBEJ22KKAENMP,training,35,2,12,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/186_7.png"",""/tangrams/186_15.png"",""/tangrams/421_15.png"",""/tangrams/128_349.png""]","[""D2"",""D1"",""B1"",""C4""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945201621,NA,3
01M14TSZ3X6GGSKZ67Z2SASX1G,01M14SGHT011RS3K43GJ2H3XM3,training,47,3,12,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/10_7.png"",""/tangrams/128_349.png"",""/tangrams/186_15.png"",""/tangrams/421_342.png""]","[""A2"",""C4"",""D1"",""B3""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787944361244,NA,4
01M14TSZ3M0AWVPMKHH60PT2FD,01M14SGHT011RS3K43GJ2H3XM3,training,45,3,10,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/10_7.png"",""/tangrams/128_349.png"",""/tangrams/186_15.png"",""/tangrams/421_342.png""]","[""A2"",""C4"",""D1"",""B3""]",/tangrams/421_342.png,TRUE,/tangrams/421_342.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787944328052,NA,4
01M14TSZ6J3BRASYVGVZD4R2AT,01M14SGHT011RS3K43GJ2H3XM3,training,31,2,8,48,12,2,/tangrams/128_15.png,C1,"[""/tangrams/128_15.png"",""/tangrams/10_349.png"",""/tangrams/186_7.png"",""/tangrams/421_342.png""]","[""C1"",""A4"",""D2"",""B3""]",/tangrams/128_15.png,TRUE,/tangrams/128_15.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787944147694,NA,3
01M14TWRRWWZQW6EXVKJ17B8TF,01M14SGHSZFM9JBEJ22KKAENMP,training,43,3,8,48,12,2,/tangrams/128_7.png,C2,"[""/tangrams/421_342.png"",""/tangrams/128_349.png"",""/tangrams/10_7.png"",""/tangrams/128_7.png""]","[""B3"",""C4"",""A2"",""C2""]",/tangrams/128_7.png,TRUE,/tangrams/128_7.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945412356,NA,4
01M14TWRVF77KBEK97KPHEVGF1,01M14SGHSZFM9JBEJ22KKAENMP,training,12,1,1,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/128_15.png"",""/tangrams/186_342.png"",""/tangrams/186_15.png"",""/tangrams/421_349.png""]","[""C1"",""D3"",""D1"",""B4""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M14TNNG989SSWD0DKW0RVGNH,01M14TB49R9EXHJJTJ0T86KJ84,1787944361784,NA,2
01M14TWRWBJWK0NMX7VHYA4PBX,01M14SGHSZFM9JBEJ22KKAENMP,training,5,0,6,48,12,2,/tangrams/128_15.png,C1,"[""/tangrams/186_15.png"",""/tangrams/128_7.png"",""/tangrams/128_15.png"",""/tangrams/421_342.png""]","[""D1"",""C2"",""C1"",""B3""]",/tangrams/128_7.png,FALSE,/tangrams/128_7.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787944060370,NA,1
01M14TP6Q323WZSYGDN68BBEPD,01M14SGHT1R1T89RW3KEBWKX4S,training,18,1,7,48,12,2,/tangrams/14_98.png,F2,"[""/tangrams/186_349.png"",""/tangrams/304_351.png"",""/tangrams/14_98.png"",""/tangrams/148_294.png""]","[""D4"",""F7"",""F2"",""F4""]",/tangrams/186_349.png,FALSE,/tangrams/186_349.png,01M14TDEA04KFX2ZPQMKS3Y9DB,01M14T36DFG88TQ0ZWSNKRAPJ2,1787943667670,NA,2
01M14TWRREQ42J714YTVZQZB6J,01M14SGHSZFM9JBEJ22KKAENMP,training,36,3,1,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/186_342.png"",""/tangrams/128_7.png"",""/tangrams/421_342.png"",""/tangrams/421_15.png""]","[""D3"",""C2"",""B3"",""B1""]",/tangrams/421_342.png,TRUE,/tangrams/421_342.png,01M14TNNG989SSWD0DKW0RVGNH,01M14TB49R9EXHJJTJ0T86KJ84,1787945228169,NA,4
01M14TWRSD3S49YD8GVRCJQXWS,01M14SGHSZFM9JBEJ22KKAENMP,training,32,2,9,48,12,2,/tangrams/421_15.png,B1,"[""/tangrams/186_15.png"",""/tangrams/421_349.png"",""/tangrams/421_15.png"",""/tangrams/10_342.png""]","[""D1"",""B4"",""B1"",""A3""]",/tangrams/421_15.png,TRUE,/tangrams/421_15.png,01M14TNNG989SSWD0DKW0RVGNH,01M14TB49R9EXHJJTJ0T86KJ84,1787945078894,NA,3
