roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M1PW0KHHQJ2Q16WW2XSW12FK,01M1PVPSF9NDAT0BF7G6FNHKYQ,44,4,1788549273618,TRUE,2026-09-04T19:14:18Z,2026-09-04T19:14:33Z,01M1PVTG9CCCTFM1SEAAQ81WMP,1788549258800
01M1PW0KHHQJ2Q16WW2XSW12FK,01M1PVPSF9NDAT0BF7G6FNHKYQ,44,4,1788549273618,TRUE,2026-09-04T19:14:18Z,2026-09-04T19:14:33Z,01M1PVTRYDJNHHT05DKBKN76E5,1788549259998
01M1PW41D3CVJV8Z3ZFVWNGWBP,01M1PVPTMYJEMSH2D4PPK54AQC,14,2,1788548869050,TRUE,2026-09-04T19:07:17Z,2026-09-04T19:07:49Z,01M1PVV1FSQ931Q08DC040FF4H,1788548837270
01M1PW41D3CVJV8Z3ZFVWNGWBP,01M1PVPTMYJEMSH2D4PPK54AQC,14,2,1788548869050,TRUE,2026-09-04T19:07:17Z,2026-09-04T19:07:49Z,01M1PVXZCG5HBAN48J4YM7CT4J,1788548837902
01M1PW513MTPQWGJN76GTZ32JK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,32,3,1788549507684,TRUE,2026-09-04T19:18:10Z,2026-09-04T19:18:29Z,01M1PVW97TC4GVFYDVFB1SJ9WH,1788549489824
01M1PW513MTPQWGJN76GTZ32JK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,32,3,1788549507684,TRUE,2026-09-04T19:18:10Z,2026-09-04T19:18:29Z,01M1PVW5BM9J57HJX5KJ260RG3,1788549488813
01M1PW5R2DWVZYWNGBXCDVMWTV,01M1PVPWEGF3RQQ2BZJMHJW5WT,10,1,1788549285416,TRUE,2026-09-04T19:14:17Z,2026-09-04T19:14:44Z,01M1PVV9N1B5JSVGVHP53ND1FH,1788549258390
01M1PW5R2DWVZYWNGBXCDVMWTV,01M1PVPWEGF3RQQ2BZJMHJW5WT,10,1,1788549285416,TRUE,2026-09-04T19:14:17Z,2026-09-04T19:14:44Z,01M1PVZMF178XCTABPVTWNQQ3Q,1788549257816
01M1PW1ZGYFPAW1Y36TR9R73S9,01M1PVPTMX8QBBEQ1CAWS8Y65C,6,1,1788549111236,FALSE,2026-09-04T19:11:24Z,2026-09-04T19:11:50Z,01M1PVVDJXTQ0S1H8V336MES03,1788549084999
01M1PW1ZGYFPAW1Y36TR9R73S9,01M1PVPTMX8QBBEQ1CAWS8Y65C,6,1,1788549111236,FALSE,2026-09-04T19:11:24Z,2026-09-04T19:11:50Z,01M1PVVEHT22G3NCF8EGPQWRYM,1788549084740
