gameID,batchID,contextStructure,contextSize,status,setId,setIndex,setReplicate,setSlotInReplicate,compSetId,rotation,numPretestItems,numPosttestItems,describeSecondsPerItem,stimulusSchemaVersion,trainingLabels,endedInactive,trainingRoundsCompleted,trainingRoundsExpected,endedReason
01M20X13PNQ3DCXFM6ND825C25,01M20X13P6VV8RYQABGGGN2H8H,comp-within,4,ended,9,2,0,1,9,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X1759ERHQJP943E99PKCN,01M20X174Y6DM08PFPA8T98AHG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20WZK596SFHM9YDB6TD7NK1,01M20WZK4DGZKBAGP34TVXJ8T6,comp-within,4,ended,6,0,0,0,6,180,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20WZK5AY7SPG9YB2GY60XCH,01M20WZK4DGZKBAGP34TVXJ8T6,comp-between,4,ended,8,1,0,0,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M20X0YW4S4FB44B5GCQBDAXT,01M20X0YVH2AP42HQ7GDP3QA3Q,noncomp,4,ended,9,2,0,0,9,90,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",TRUE,5,48,timeOut
01M20X11N92ZFWXFVKY2CVEME8,01M20X11MSKJSX6CPW57Y2EA1X,comp-between,4,ended,9,2,0,0,9,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M20X148VH9T6HPBHADHZGVW4,01M20X148B80FV867A2S46TEM0,noncomp,4,ended,11,4,0,0,11,270,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M20X175HY3CRCTEMGHN0JEQ3,01M20X174Y6DM08PFPA8T98AHG,comp-between,4,ended,11,4,0,1,11,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M215M9N7M1Y02J02DK7JKTQA,01M215KC773WZAVFMZ1RPR5V6T,comp-between,4,ended,13,6,0,0,13,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,NA,48,pretestAbandoned
01M20X13PJV655EHMJRF5XR4PG,01M20X13P6VV8RYQABGGGN2H8H,noncomp,4,ended,10,3,0,1,10,180,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",TRUE,21,48,timeOut
01M20X14TPRK3E5KMRXWZZW19Q,01M20X14T0SG6SY5CP4Y7K8KG0,noncomp,4,ended,9,2,0,1,9,90,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M20X15B57MQKH9DSF6JVYF47,01M20X15AS9VRFG218VP0AFYBT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X15T5VD7SB5NVA7CDVWJE,01M20X15SSX2NF01Z737T37MZD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X15T6RVACNPGND6W0W8V3,01M20X15SSX2NF01Z737T37MZD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X148Y8KBRQFNJT9HAMJT5,01M20X148B80FV867A2S46TEM0,comp-within,4,ended,10,3,0,0,10,180,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X16AD7EKSEGH5VWNCQM3K,01M20X16A11RP5NBQ1YFFJBZZM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M215K1QR22WA8ZQKRMFE9JZW,01M215HT5DK54N1T34BJ7HXJSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M215K1S1M5BEFG1BSASBXKC2,01M215HT5DK54N1T34BJ7HXJSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X11N8F7DPTR5329TXEJ69,01M20X11MSKJSX6CPW57Y2EA1X,comp-within,4,ended,8,1,0,1,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M20X15B8K1NH0RPDWMSPXGK3,01M20X15AS9VRFG218VP0AFYBT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X15T7F67D04XT463JKFRX,01M20X15SSX2NF01Z737T37MZD,comp-between,4,ended,10,3,0,1,10,180,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X16AC05ASZR4WS2CJQX2Y,01M20X16A11RP5NBQ1YFFJBZZM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X11N5A2NXXZZPJ1AXFSW6,01M20X11MSKJSX6CPW57Y2EA1X,noncomp,4,ended,9,2,0,1,9,90,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M20X148Y8KBRQFNJTS9AKRW4,01M20X148B80FV867A2S46TEM0,comp-between,4,ended,9,2,0,0,9,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X16AD7EKSEGH5WBVM39Q0,01M20X16A11RP5NBQ1YFFJBZZM,comp-between,4,ended,11,4,0,0,11,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M215K2BSVQ6X8DX5GH1YZX6B,01M215JMY1JF12KSYHTN7WG3KQ,comp-between,4,ended,12,5,0,1,12,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
