id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,serverStartedAt,serverStartedAtLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01M0WY8XKYXMA56PS6GWKYSAPW,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:48.990499644Z,3,2026-08-25T17:07:48.990499644Z,true,2026-08-25T17:27:41.18102435Z,01M0WWQAZTRSENW9JN2FSQ4BA7,2026-08-25T17:07:48.990499644Z,1,2026-08-25T17:07:48.990499644Z,true,2026-08-25T17:27:38.159568653Z,feedback,2026-08-25T17:07:48.990499644Z,01M0WY8WNPQ4GF93XQJMPEHM24,2026-08-25T17:07:48.990499644Z,1787678858166,2026-08-25T17:27:38.167559333Z,true,2026-08-25T17:27:38.132809621Z,true,2026-08-25T17:27:38.180752107Z,01M0WY8XKS1AJNF1XWV0QX4GW8,2026-08-25T17:07:48.990499644Z
01M0WY978ENEMJ7HWEVQHGR7FQ,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:58.86240929Z,3,2026-08-25T17:07:58.86240929Z,true,2026-08-25T17:48:10.251443061Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:58.86240929Z,1,2026-08-25T17:07:58.86240929Z,true,2026-08-25T17:48:07.20171001Z,feedback,2026-08-25T17:07:58.86240929Z,01M0WY9680ZJQ90EFBQKN4G7W8,2026-08-25T17:07:58.86240929Z,1787680087214,2026-08-25T17:48:07.215642787Z,true,2026-08-25T17:48:07.162613968Z,true,2026-08-25T17:48:07.24361181Z,01M0WY9789W6ZWRFJ5FHGPNP91,2026-08-25T17:07:58.86240929Z
01M0WYEF1T69HQ3RQZ37NA7BCH,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:10:50.68218261Z,1500,2026-08-25T17:10:50.68218261Z,true,2026-08-25T17:26:58.939014786Z,01M0WWQAZRRWZPK3N7VE24RFV2,2026-08-25T17:10:50.68218261Z,0,2026-08-25T17:10:50.68218261Z,true,2026-08-25T17:10:57.097120447Z,describe,2026-08-25T17:10:50.68218261Z,01M0WYEEZKJVC7HCSH1EFJ1MZ3,2026-08-25T17:10:50.68218261Z,1787677857105,2026-08-25T17:10:57.106384173Z,true,2026-08-25T17:10:56.970652065Z,true,2026-08-25T17:10:57.117435214Z,01M0WYEF1EGPC3XVA15617E21D,2026-08-25T17:10:50.68218261Z
01M0WXAWJ6FSP6MS1MQ46Y5Y4H,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:24.870159533Z,3,2026-08-25T16:51:24.870159533Z,true,2026-08-25T17:14:52.601828952Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:24.870159533Z,1,2026-08-25T16:51:24.870159533Z,true,2026-08-25T17:14:49.578278107Z,feedback,2026-08-25T16:51:24.870159533Z,01M0WXAW5D7MAAM7NXFQA14XN6,2026-08-25T16:51:24.870159533Z,1787678089586,2026-08-25T17:14:49.58774428Z,true,2026-08-25T17:14:49.552803822Z,true,2026-08-25T17:14:49.599671714Z,01M0WXAWJ3BENQG92RBMKB2MG3,2026-08-25T16:51:24.870159533Z
01M0WXAWQ1HAXXCEDPMABE4HTC,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.025520075Z,3,2026-08-25T16:51:25.025520075Z,true,2026-08-25T17:18:34.102819085Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.025520075Z,1,2026-08-25T16:51:25.025520075Z,true,2026-08-25T17:18:31.079632921Z,feedback,2026-08-25T16:51:25.025520075Z,01M0WXAW6NBMJ6BCMNPETTFRJF,2026-08-25T16:51:25.025520075Z,1787678311090,2026-08-25T17:18:31.09162307Z,true,2026-08-25T17:18:31.050482718Z,true,2026-08-25T17:18:31.098091524Z,01M0WXAWPYYXKWWRGB1D70S82K,2026-08-25T16:51:25.025520075Z
01M0WXAWS9BK7XNE36K0T4M982,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.097778918Z,3,2026-08-25T16:51:25.097778918Z,true,2026-08-25T17:19:53.524000084Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.097778918Z,1,2026-08-25T16:51:25.097778918Z,true,2026-08-25T17:19:50.496221015Z,feedback,2026-08-25T16:51:25.097778918Z,01M0WXAW6K6PD99RSMBBF8RKQJ,2026-08-25T16:51:25.097778918Z,1787678390506,2026-08-25T17:19:50.508274873Z,true,2026-08-25T17:19:50.467954434Z,true,2026-08-25T17:19:50.520665818Z,01M0WXAWS40DVYFB4Y2D3TSPNY,2026-08-25T16:51:25.097778918Z
01M0WXAX0WND6C5TKT8TWNVVTT,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.340285584Z,3,2026-08-25T16:51:25.340285584Z,true,2026-08-25T17:24:33.287371932Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.340285584Z,1,2026-08-25T16:51:25.340285584Z,true,2026-08-25T17:24:30.242883283Z,feedback,2026-08-25T16:51:25.340285584Z,01M0WXAW4SBEDQEAEQC25Z7MN2,2026-08-25T16:51:25.340285584Z,1787678670261,2026-08-25T17:24:30.266234269Z,true,2026-08-25T17:24:30.216751972Z,true,2026-08-25T17:24:30.293068349Z,01M0WXAX0RAAQFQRS4TWYY07HY,2026-08-25T16:51:25.340285584Z
01M0WY9761X43717DPEVK0RFVH,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:58.785642104Z,3,2026-08-25T17:07:58.785642104Z,true,2026-08-25T17:46:24.106055582Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:58.785642104Z,1,2026-08-25T17:07:58.785642104Z,true,2026-08-25T17:46:21.073477641Z,feedback,2026-08-25T17:07:58.785642104Z,01M0WY96A9T7MD3P4WMT32ESKR,2026-08-25T17:07:58.785642104Z,1787679981081,2026-08-25T17:46:21.082915149Z,true,2026-08-25T17:46:21.036769279Z,true,2026-08-25T17:46:21.104170855Z,01M0WY975WETW14FSW5W2Z5GSV,2026-08-25T17:07:58.785642104Z
01M0WXAWTZABM3WN59XWKQ6XKT,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.151117446Z,60,2026-08-25T16:51:25.151117446Z,true,2026-08-25T17:20:41.67217689Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.151117446Z,0,2026-08-25T16:51:25.151117446Z,true,2026-08-25T17:20:23.9710521Z,selection,2026-08-25T16:51:25.151117446Z,01M0WXAW6HBME2NMSGA4MZ4Y89,2026-08-25T16:51:25.151117446Z,1787678423988,2026-08-25T17:20:23.990578283Z,true,2026-08-25T17:20:23.939183373Z,true,2026-08-25T17:20:24.011105576Z,01M0WXAWTV6QC0ZYK8EE9SDD5P,2026-08-25T16:51:25.151117446Z
01M0WXGFCTJF55BPEBRZG8Q813,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:54:27.994537937Z,3,2026-08-25T16:54:27.994537937Z,false,2026-08-25T16:54:27.994537937Z,01M0WWQ74ND1AHANTF309RNWJE,2026-08-25T16:54:27.994537937Z,1,2026-08-25T16:54:27.994537937Z,,,feedback,2026-08-25T16:54:27.994537937Z,01M0WXGEBZC083CZ1PX5X3GV0P,2026-08-25T16:54:27.994537937Z,,,false,2026-08-25T16:54:27.994537937Z,,,01M0WXGFCPG8P4DAEWV4NYE0V4,2026-08-25T16:54:27.994537937Z
