roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JFGA8FJ3MZY3V5PNRFJBD60N,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,37,65,2,NA,/tangrams/170_79.png,6,37,"[""/tangrams/170_79.png"",""/tangrams/97_324.png"",""/tangrams/97_79.png"",""/tangrams/170_324.png""]"
01JFGAFG6FAX13REV3SHKTBNAA,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,58,65,3,/tangrams/400_193.png,/tangrams/400_193.png,11,58,"[""/tangrams/274_316.png"",""/tangrams/215_384.png"",""/tangrams/358_214.png"",""/tangrams/400_193.png""]"
01JFG9M8GXKAFVG4AFMM344GVR,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,47,65,2,/tangrams/287_250.png,/tangrams/287_250.png,16,47,"[""/tangrams/74_360.png"",""/tangrams/11_392.png"",""/tangrams/415_82.png"",""/tangrams/287_250.png""]"
01JFGAXKN38SS6Z0EZTS2GYSE9,FALSE,01JFG8Z9BQREF412YKSXPEAKSA,14,65,0,/tangrams/258_180.png,/tangrams/195_56.png,15,14,"[""/tangrams/343_166.png"",""/tangrams/241_347.png"",""/tangrams/258_180.png"",""/tangrams/195_56.png""]"
01JFGAXKSG4RKA9CRBGE2368MM,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,34,65,2,/tangrams/241_347.png,/tangrams/241_347.png,3,34,"[""/tangrams/241_347.png"",""/tangrams/258_56.png"",""/tangrams/195_166.png"",""/tangrams/343_180.png""]"
01JFGAXKZ7236CZYJ0RXSMXZ93,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,60,65,3,/tangrams/195_347.png,/tangrams/195_347.png,13,60,"[""/tangrams/241_180.png"",""/tangrams/343_56.png"",""/tangrams/258_166.png"",""/tangrams/195_347.png""]"
01JFGA4GS4129R7HGT7ZJMKYY5,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,11,65,0,/tangrams/53_119.png,/tangrams/53_119.png,12,11,"[""/tangrams/53_119.png"",""/tangrams/224_203.png"",""/tangrams/224_119.png"",""/tangrams/53_203.png""]"
01JFGA6DAGXXQFVNGD2YT5WCBA,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,10,65,0,/tangrams/227_425.png,/tangrams/227_425.png,11,10,"[""/tangrams/232_425.png"",""/tangrams/227_425.png"",""/tangrams/227_448.png"",""/tangrams/232_448.png""]"
01JFGAFG52XX8W5BSYYD3X59Y8,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,50,65,3,/tangrams/93_45.png,/tangrams/93_45.png,3,50,"[""/tangrams/141_104.png"",""/tangrams/93_45.png"",""/tangrams/63_116.png"",""/tangrams/454_450.png""]"
01JFGA4GSRJ6V8K57JMY6TA9GA,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,22,65,1,/tangrams/224_371.png,/tangrams/224_371.png,7,22,"[""/tangrams/224_203.png"",""/tangrams/224_371.png"",""/tangrams/462_371.png"",""/tangrams/462_203.png""]"
01JFGB9AFXJ9A2Y5AS2KY0N5NP,TRUE,01JFGA58DFG208NE3ZXZFARAF8,9,65,0,/tangrams/436_243.png,/tangrams/436_243.png,10,9,"[""/tangrams/182_243.png"",""/tangrams/182_272.png"",""/tangrams/436_243.png"",""/tangrams/436_272.png""]"
01JFGB9AKVRR28P1H2NDG728E6,TRUE,01JFGA58DFG208NE3ZXZFARAF8,20,65,1,/tangrams/436_7.png,/tangrams/436_7.png,5,20,"[""/tangrams/436_36.png"",""/tangrams/182_7.png"",""/tangrams/182_36.png"",""/tangrams/436_7.png""]"
01JFGA6DD09HHP0YZF4TZVGSYV,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,30,65,1,/tangrams/22_448.png,/tangrams/22_448.png,15,30,"[""/tangrams/22_448.png"",""/tangrams/22_346.png"",""/tangrams/413_346.png"",""/tangrams/413_448.png""]"
01JFGA8FDQ6ZTE1ZX43V19JK8B,TRUE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,7,65,0,/tangrams/170_267.png,/tangrams/170_267.png,8,7,"[""/tangrams/170_267.png"",""/tangrams/170_324.png"",""/tangrams/128_324.png"",""/tangrams/128_267.png""]"
01JFGA8FG104ZFYBASK15C1TJC,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,50,65,3,NA,/tangrams/97_267.png,3,50,"[""/tangrams/97_267.png"",""/tangrams/170_267.png"",""/tangrams/97_79.png"",""/tangrams/170_79.png""]"
01JFGA8FHTHHPCAH9MAVWN4JKS,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,56,65,3,NA,/tangrams/170_437.png,9,56,"[""/tangrams/170_437.png"",""/tangrams/128_267.png"",""/tangrams/128_437.png"",""/tangrams/170_267.png""]"
01JFGAFFYAVQDYRHM24T19DXW9,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,13,65,0,/tangrams/215_384.png,/tangrams/215_384.png,14,13,"[""/tangrams/358_214.png"",""/tangrams/380_338.png"",""/tangrams/215_384.png"",""/tangrams/141_104.png""]"
01JFG9M8FRQY0Q8E4EHR2RJN6B,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,13,65,0,/tangrams/287_360.png,/tangrams/287_360.png,14,13,"[""/tangrams/11_392.png"",""/tangrams/287_360.png"",""/tangrams/415_250.png"",""/tangrams/74_82.png""]"
01JFG9M8GEBF48DJKBDZ2TQ5EV,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,41,65,2,/tangrams/74_250.png,/tangrams/74_250.png,10,41,"[""/tangrams/74_250.png"",""/tangrams/11_360.png"",""/tangrams/287_392.png"",""/tangrams/415_82.png""]"
01JFGAXKYDNFJK8P7M5AR2DX0J,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,58,65,3,/tangrams/195_56.png,/tangrams/195_56.png,11,58,"[""/tangrams/241_347.png"",""/tangrams/195_56.png"",""/tangrams/343_166.png"",""/tangrams/258_180.png""]"
01JFG9M8FPHPTCFT77R286G9TZ,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,5,65,0,/tangrams/74_82.png,/tangrams/74_82.png,6,5,"[""/tangrams/287_360.png"",""/tangrams/415_250.png"",""/tangrams/74_82.png"",""/tangrams/11_392.png""]"
01JFGA6DDZ1N1FN89WTYK67VE4,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,41,65,2,/tangrams/22_425.png,/tangrams/22_425.png,10,41,"[""/tangrams/22_425.png"",""/tangrams/22_321.png"",""/tangrams/227_425.png"",""/tangrams/227_321.png""]"
01JFGAXKYMXS49RAFHTV8KM97P,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,59,65,3,/tangrams/258_56.png,/tangrams/258_56.png,12,59,"[""/tangrams/258_56.png"",""/tangrams/343_166.png"",""/tangrams/241_180.png"",""/tangrams/195_347.png""]"
01JFGA6DC8VYY6HHTSM7X2Y5BW,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,17,65,1,/tangrams/413_425.png,/tangrams/413_425.png,2,17,"[""/tangrams/413_425.png"",""/tangrams/22_425.png"",""/tangrams/22_346.png"",""/tangrams/413_346.png""]"
01JFGA8FC1ERQDGZA4NT99XJ5K,TRUE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,1,65,0,/tangrams/311_324.png,/tangrams/311_324.png,2,1,"[""/tangrams/311_324.png"",""/tangrams/311_267.png"",""/tangrams/170_267.png"",""/tangrams/170_324.png""]"
01JFGA8FJSVMYBEVZQ0VNZ5RGA,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,38,65,2,NA,/tangrams/311_79.png,7,38,"[""/tangrams/311_437.png"",""/tangrams/170_437.png"",""/tangrams/170_79.png"",""/tangrams/311_79.png""]"
01JFGAFG158QSZ9PZTFGV9HN2C,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,31,65,1,/tangrams/125_148.png,/tangrams/125_148.png,16,31,"[""/tangrams/141_104.png"",""/tangrams/125_148.png"",""/tangrams/219_68.png"",""/tangrams/287_238.png""]"
01JFGAXKVN0VMF2GS1PQJDF48C,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,45,65,2,/tangrams/258_56.png,/tangrams/258_56.png,14,45,"[""/tangrams/258_56.png"",""/tangrams/195_347.png"",""/tangrams/241_180.png"",""/tangrams/343_166.png""]"
01JFG9M8HRAQTAAG5C8FFYPPAK,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,61,65,3,/tangrams/415_82.png,/tangrams/415_82.png,14,61,"[""/tangrams/287_250.png"",""/tangrams/415_82.png"",""/tangrams/74_392.png"",""/tangrams/11_360.png""]"
01JFGA4GRSWB5AZRM5NYC4P18H,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,43,65,2,/tangrams/224_371.png,/tangrams/224_371.png,12,43,"[""/tangrams/224_232.png"",""/tangrams/462_232.png"",""/tangrams/224_371.png"",""/tangrams/462_371.png""]"
01JFGA4GTK07MY8NVVJP9XKPZJ,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,61,65,3,/tangrams/53_203.png,/tangrams/53_203.png,14,61,"[""/tangrams/170_232.png"",""/tangrams/170_203.png"",""/tangrams/53_232.png"",""/tangrams/53_203.png""]"
01JFG9M8FXHFPR252CCD4H854S,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,11,65,0,/tangrams/74_392.png,/tangrams/74_392.png,12,11,"[""/tangrams/11_82.png"",""/tangrams/287_360.png"",""/tangrams/415_250.png"",""/tangrams/74_392.png""]"
01JFG9M8GCZRB96X2VV4R2NJY0,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,37,65,2,/tangrams/11_360.png,/tangrams/11_360.png,6,37,"[""/tangrams/74_250.png"",""/tangrams/287_82.png"",""/tangrams/11_360.png"",""/tangrams/415_392.png""]"
01JFGA8FJFJ00G49AXYA9FBG1M,FALSE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,29,65,1,/tangrams/128_267.png,/tangrams/170_267.png,14,29,"[""/tangrams/128_437.png"",""/tangrams/170_437.png"",""/tangrams/128_267.png"",""/tangrams/170_267.png""]"
01JFG9M8G89H4HHT0NQ64Z1KHK,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,23,65,1,/tangrams/74_392.png,/tangrams/74_392.png,8,23,"[""/tangrams/74_392.png"",""/tangrams/11_82.png"",""/tangrams/415_360.png"",""/tangrams/287_250.png""]"
01JFGAFG6AK19BAHA1FHJ949QQ,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,56,65,3,/tangrams/309_228.png,/tangrams/309_228.png,9,56,"[""/tangrams/454_450.png"",""/tangrams/380_338.png"",""/tangrams/215_384.png"",""/tangrams/309_228.png""]"
01JFGAXKP9V3JAFQ3N2N6MED1W,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,20,65,1,/tangrams/343_56.png,/tangrams/343_56.png,5,20,"[""/tangrams/258_166.png"",""/tangrams/195_180.png"",""/tangrams/241_347.png"",""/tangrams/343_56.png""]"
01JFGA4GSP7SQ0KZ8AG2NRS6JV,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,26,65,1,/tangrams/462_371.png,/tangrams/462_371.png,11,26,"[""/tangrams/462_232.png"",""/tangrams/462_371.png"",""/tangrams/53_371.png"",""/tangrams/53_232.png""]"
01JFGAFG48EMKPGMS70P7MN93W,FALSE,01JFG8Z7EFJZW02VJSC7JSSAXB,46,65,2,/tangrams/358_214.png,/tangrams/215_384.png,15,46,"[""/tangrams/358_214.png"",""/tangrams/141_104.png"",""/tangrams/215_384.png"",""/tangrams/274_316.png""]"
01JFGAXKRE97FFVTCZMPWJK4T5,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,30,65,1,/tangrams/258_56.png,/tangrams/258_56.png,15,30,"[""/tangrams/258_56.png"",""/tangrams/195_180.png"",""/tangrams/343_347.png"",""/tangrams/241_166.png""]"
01JFG9M8G9TDXS85C1PXGY93B8,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,34,65,2,/tangrams/287_82.png,/tangrams/287_82.png,3,34,"[""/tangrams/11_360.png"",""/tangrams/74_250.png"",""/tangrams/287_82.png"",""/tangrams/415_392.png""]"
01JFG9M8GGWYD27A386DB8CXK0,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,59,65,3,/tangrams/287_250.png,/tangrams/287_250.png,12,59,"[""/tangrams/287_250.png"",""/tangrams/415_82.png"",""/tangrams/74_360.png"",""/tangrams/11_392.png""]"
01JFGA4GSETX3NJAET473GBA58,FALSE,01JFG8YYF8H0QD8W9TRHSGW7CC,14,65,0,/tangrams/224_371.png,/tangrams/224_232.png,15,14,"[""/tangrams/224_371.png"",""/tangrams/170_371.png"",""/tangrams/170_232.png"",""/tangrams/224_232.png""]"
