roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M0XFEE01W2PJ1Z1Z82C9AGC2,01M0XF36KPEANMAA2FHR330CGB,training,45,3,10,48,12,3,/tangrams/371_244.png,D3,"[""/tangrams/271_116.png"",""/tangrams/322_60.png"",""/tangrams/445_421.png"",""/tangrams/371_244.png""]","[""A4"",""B1"",""C2"",""D3""]",/tangrams/371_244.png,TRUE,/tangrams/371_244.png,01M0XES7WHX0W3E8PJ1JTK03A6,01M0XETGWM5RF9ZVRZXVQJA69R,1787698481498,NA,4
01M0XFED6CR7DZC41A4DASPVGK,01M0XF36KPEANMAA2FHR330CGB,training,33,2,10,48,12,3,/tangrams/371_421.png,D2,"[""/tangrams/322_244.png"",""/tangrams/445_60.png"",""/tangrams/371_421.png"",""/tangrams/271_116.png""]","[""B3"",""C1"",""D2"",""A4""]",/tangrams/371_421.png,TRUE,/tangrams/371_421.png,01M0XES7WHX0W3E8PJ1JTK03A6,01M0XETGWM5RF9ZVRZXVQJA69R,1787698242093,NA,3
01M0XFQWTDWT4YMYFK6HF8MKRJ,01M0XEP3TXK5Z02SVJR2VASG8P,training,14,1,3,48,12,3,/tangrams/453_410.png,F1,"[""/tangrams/89_380.png"",""/tangrams/180_115.png"",""/tangrams/35_216.png"",""/tangrams/453_410.png""]","[""F6"",""F2"",""F8"",""F1""]",/tangrams/89_380.png,FALSE,/tangrams/89_380.png,01M0XFGKS364T502MY6BASRSP2,01M0XEX8ATRQ9G1A1T9FCE8VQM,1787696887413,NA,2
01M0XEYNXF6FP8266K43VESKWG,01M0XEBHFAZN8J8K9QJ4PMADCV,training,28,2,5,48,12,1,/tangrams/202_314.png,C1,"[""/tangrams/66_24.png"",""/tangrams/348_314.png"",""/tangrams/202_464.png"",""/tangrams/202_314.png""]","[""A3"",""B1"",""C4"",""C1""]",/tangrams/202_314.png,TRUE,/tangrams/202_314.png,01M0XES5Y1NQT19B2QBEJ1SE2V,01M0XEREB3GCTAQVXHQ8WY91H4,1787697742383,NA,3
01M0XF75CP8H61BYPTNBWT0SVQ,01M0XEBJH4G5D0NKPXZ6BYKGS7,training,42,3,7,48,12,2,/tangrams/128_349.png,C4,"[""/tangrams/186_15.png"",""/tangrams/421_342.png"",""/tangrams/128_349.png"",""/tangrams/10_7.png""]","[""D1"",""B3"",""C4"",""A2""]",/tangrams/128_349.png,TRUE,/tangrams/128_349.png,01M0XERQ8TV5N8Y3NVYKQG5TNE,01M0XER6FPF3N9GKNC8JSYE9M7,1787697301236,NA,4
01M0XFEDYYHBBAE4VGAC4H36AJ,01M0XF36KPEANMAA2FHR330CGB,training,42,3,7,48,12,3,/tangrams/445_116.png,C4,"[""/tangrams/371_421.png"",""/tangrams/271_244.png"",""/tangrams/445_116.png"",""/tangrams/322_60.png""]","[""D2"",""A3"",""C4"",""B1""]",/tangrams/445_116.png,TRUE,/tangrams/445_116.png,01M0XETGWM5RF9ZVRZXVQJA69R,01M0XES7WHX0W3E8PJ1JTK03A6,1787698412640,NA,4
01M0XF02YEW3Y0K1B2JKNRY5MN,01M0XEBFYZ40VDCCZ70PM6EWHK,training,18,1,7,48,12,1,/tangrams/40_345.png,F4,"[""/tangrams/40_345.png"",""/tangrams/4_159.png"",""/tangrams/66_314.png"",""/tangrams/264_176.png""]","[""F4"",""F5"",""A1"",""F3""]",/tangrams/40_345.png,TRUE,/tangrams/40_345.png,01M0XEW4XVCD53BQGS5F5TWC4E,01M0XERQP1ZQ8ZKRV6F98VE778,1787696064854,NA,2
01M0XF397D480FT6JCQTBAJHF3,01M0XEBHF9Z6MD8PTP8NQ2PV26,training,45,3,10,48,12,1,/tangrams/157_426.png,F7,"[""/tangrams/40_345.png"",""/tangrams/66_314.png"",""/tangrams/157_426.png"",""/tangrams/4_159.png""]","[""F4"",""A1"",""F7"",""F5""]",/tangrams/157_426.png,TRUE,/tangrams/157_426.png,01M0XESCE3HXZW59M8QA45SWJ1,01M0XESRDHZJ3M6V0HK46Z1NMP,1787696779226,NA,4
01M0XF02Y74DZ22ZNNCC3KMZ1Y,01M0XEBFYZ40VDCCZ70PM6EWHK,training,19,1,8,48,12,1,/tangrams/264_176.png,F3,"[""/tangrams/264_176.png"",""/tangrams/4_159.png"",""/tangrams/157_426.png"",""/tangrams/429_403.png""]","[""F3"",""F5"",""F7"",""F2""]",/tangrams/264_176.png,TRUE,/tangrams/264_176.png,01M0XERQP1ZQ8ZKRV6F98VE778,01M0XEW4XVCD53BQGS5F5TWC4E,1787696087918,NA,2
01M0XF1CB12KBFT402P9GCFJ6W,01M0XEBJH722J4730WC5V8GCA8,training,9,0,10,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/10_349.png"",""/tangrams/128_15.png"",""/tangrams/186_15.png"",""/tangrams/186_7.png""]","[""A4"",""C1"",""D1"",""D2""]",/tangrams/128_15.png,FALSE,/tangrams/128_15.png,01M0XERZFWJEZDBR149P6YH3F1,01M0XESZDE3CCGRVTP6G18ANBY,1787696260338,NA,1
